date,strategy_return,benchmark_return,turnover,strategy_growth,benchmark_growth,strategy_return_net_10bps,strategy_net_growth_10bps
2019-02-28,0.0004306713993031952,0.03241615018651545,1.0,1.1129877926288358,1.347971387555072,-0.0005693286006968048,1.0921579010341986
2019-03-31,0.0052912717184429026,0.018100378364304337,1.0,1.1188769134589451,1.3723701796940753,0.0042912717184429025,1.0968446473469806
2019-04-30,-0.010760665621865784,0.04085235316927127,2.0,1.1068370531211882,1.4284347309539138,-0.012760665621865784,1.0828481795630525
2019-05-31,-0.03595762352002663,-0.0637708662484262,1.0,1.0670378230670408,1.337342210781645,-0.03695762352002663,1.042828684213415
2019-06-30,0.010836555196688913,0.06958620898133705,2.0,1.0786008373336615,1.43040278534066,0.008836555196688913,1.0520436974421572
2019-07-31,0.016083825331100976,0.01511962042620163,2.0,1.0959488648033153,1.4520299325115924,0.014083825331100976,1.0668604971176183
2019-08-31,0.04687373457663191,-0.016743454946437586,1.0,1.147320081001667,1.4277179347557059,0.04587373457663191,1.1158013723926854
2019-09-30,-0.03037352456230563,0.01945784053648003,1.0,1.1124719263405365,1.455498242661255,-0.03137352456230563,1.080794750629269
2019-10-31,0.007251499651128812,0.022104681276752247,0.0,1.1205390161262856,1.4876715674141552,0.007251499651128812,1.088632133386399
2019-11-30,-0.0180782898457032,0.036198153983213244,0.0,1.1002815870093354,1.541522531887861,-0.0180782898457032,1.0689515261436935
2019-12-31,0.032807135884236005,0.02905549283463249,1.0,1.1363786745452733,1.5863122287675533,0.031807135884236004,1.1029518125894073
2020-01-31,0.005941025242674258,-0.0004040140102572476,1.0,1.1431299289359833,1.5856713364024888,0.004941025242674258,1.1084015253368649
2020-02-29,0.029951291139852676,-0.07916567981082334,2.0,1.1773681462482242,1.4601405870996491,0.027951291139852674,1.1393827790714124
2020-03-31,0.0504975419930469,-0.1248711420302433,1.0,1.2368223436546697,1.277811164463806,0.0494975419930469,1.1957794260246541
2020-04-30,0.007470927769047786,0.12698402449715696,0.0,1.2460625540472583,1.4400727686748185,0.007470927769047786,1.2047130077441979
2020-05-31,0.004131314066283476,0.0476447797611006,1.0,1.251210429804263,1.5086847185782886,0.0031313140662834757,1.208485342531182
2020-06-30,0.015371644636503756,0.017734501342107523,0.0,1.2704435918967012,1.5354404897447322,0.015371644636503756,1.2270617497649947
2020-07-31,0.07612788522732261,0.05889204243205182,0.0,1.3671597758484006,1.6258657162186694,0.07612788522732261,1.3204753658179418
2020-08-31,-0.02685056157725424,0.06979688090225,0.0,1.330450768101038,1.7393460719766352,-0.02685056157725424,1.2850198606967997
2020-09-30,-0.03957884766309072,-0.037443651948556145,1.0,1.277793059827125,1.6742186030394537,-0.04057884766309072,1.2328752355255383
2020-10-31,-0.005435810409398889,-0.02493370221777136,1.0,1.270847219011459,1.6324741349438148,-0.006435810409398889,1.224940684251253
2020-11-30,0.0959446573681274,0.10877713697263092,1.0,1.3927782200067509,1.8100499975248752,0.0949446573681274,1.3412422578137677
2020-12-31,0.05417118222012096,0.037047996772125114,1.0,1.4682266627549523,1.8771087239905617,0.05317118222012096,1.4125576943053102
2021-01-31,0.010774978995051254,-0.010190190756868778,0.0,1.4840467742061112,1.8579806280217153,0.010774978995051254,1.4277779737907481
2021-02-28,0.015128554539017625,0.027805348528231022,1.0,1.5064982567681415,1.9096424269425607,0.014128554539017624,1.447950412763059
2021-03-31,-0.007215511047304279,0.04539944073303004,1.0,1.4956281019536863,1.9963391251258191,-0.00821551104730428,1.4360547601510552
2021-04-30,0.04513227346951809,0.05291032361762449,0.0,1.5631291984597564,2.1019660742867514,0.04513227346951809,1.5008671763033958
2021-05-31,0.02330002947149412,0.006566134515362698,1.0,1.5995501548516216,2.1157678662772472,0.02230002947149412,1.5343365585677597
2021-06-30,0.030660853784554964,0.02242729555985301,0.0,1.6485937282705894,2.1632188175502867,0.030660853784554964,1.5813806274463031
2021-07-31,0.02859771161314506,0.024412584369425838,0.0,1.6957397362789113,2.216028579443263,0.02859771161314506,1.6266044945806268
2021-08-31,0.002567334581671188,0.0297599412887668,0.0,1.7000932675453742,2.2819774598617237,0.002567334581671188,1.6307805325502656
2021-09-30,-0.05171004762954906,-0.046605552722635335,1.0,1.612181363705927,2.1756246390442726,-0.05271004762954906,1.5448220130061998
2021-10-31,0.06465418287713698,0.07016346986235344,1.0,1.7164156324260822,2.328274012837649,0.06365418287713698,1.6431563959347235
2021-11-30,-0.05434037002798231,-0.008034704935967918,0.0,1.6231449718382356,2.3095670181344166,-0.05434037002798231,1.5538666693657848
2021-12-31,0.013054789050828575,0.04624771793917537,2.0,1.6443347870444969,2.416379222150719,0.011054789050828575,1.571044337608737
2022-01-31,-0.0684790814549136,-0.05274118387053561,1.0,1.5317322512233287,2.2889365212943265,-0.0694790814549136,1.4618896201067388
2022-02-28,0.017578662180637805,-0.02951705356871248,1.0,1.5586580550187714,2.2213738593798995,0.016578662180637804,1.4861257942638695
2022-03-31,0.05223625615556737,0.03759031218690101,1.0,1.6400765164396705,2.304875996237811,0.05123625615556737,1.5622693161381689
2022-04-30,0.017852736934700908,-0.08776903890540255,0.0,1.6693563710404484,2.102579245251886,0.017852736934700908,1.5901600992603386
2022-05-31,0.006757938489647286,0.002257370179436835,0.0,1.6806377787132405,2.10732554494002,0.006757938489647286,1.6009063033998314
2022-06-30,-0.04532985503171483,-0.08246041331842979,0.0,1.604454711843346,1.9335546095077807,-0.04532985503171483,1.5283374527473585
2022-07-31,-0.02288814398699579,0.09208732504682349,0.0,1.5677317213780617,2.1116104813293077,-0.02288814398699579,1.4933566450681586
2022-08-31,-0.022185080441213034,-0.04080185087231036,0.0,1.532951467029048,2.0254528653697017,-0.022185080441213034,1.4602264077699014
2022-09-30,-0.09954317744689323,-0.09244600260760782,1.0,1.3803566071291002,1.8382078444961476,-0.10054317744689323,1.3134106049408527
2022-10-31,0.01803319447269125,0.08127563769452162,1.0,1.4052488462671235,1.987609359272644,0.01703319447269125,1.3357821831973054
2022-11-30,0.045856991330957664,0.05559150717499772,1.0,1.4696893304282332,2.0981035592297417,0.04485699133095766,1.3957013530090345
2022-12-31,-0.03787866124283362,-0.057628321267792826,1.0,1.414019466148735,1.9771933732653506,-0.03887866124283362,1.3414383529092317
2023-01-31,0.07646217443126535,0.06288764715872497,0.0,1.5221384692186042,2.101534412487831,0.07646217443126535,1.4440076462381666
2023-02-28,-0.042211901412902986,-0.025142885140141735,1.0,1.4578861102191614,2.0486957741365943,-0.04321190141290299,1.3816093301894448
2023-03-31,0.05522591504173879,0.03707786046244155,0.0,1.538399204682656,2.1246570301800247,0.05522591504173879,1.457909969679361
2023-04-30,0.01899296402346662,0.015974841370329118,0.0,1.5676179654309235,2.158598089203505,0.01899296402346662,1.4856000012829345
2023-05-31,-0.026745306880326725,0.004616277697360394,0.0,1.52569154187436,2.16856277742026,-0.026745306880326725,1.4458671733472086
2023-06-30,0.01124348111170137,0.06479971566276754,0.0,1.542845625907707,2.309085028793954,0.01124348111170137,1.4621237536007672
2023-07-31,0.029883818236507098,0.032733403517056336,1.0,1.588951744159323,2.38466924079666,0.028883818236507097,1.5043554703390511
